time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps
1.0000,accel,0.2952,0.0000,0.0000,3.2334,0.8210,0.0000,0.0000,0.6667,0.0000,0.0000,1,1000.0000,4459.3116,4459.3116,2410.9822,2410.9822,0.4751,0.4751,0.5763,0.5763,0.0000,0.0000,0.0000,0.0000,4223.9923,4223.9923,2257.1146,2257.1146,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7140,-1.7140,9.4358,9.4358,305.8208,305.8208,-272.6582,-272.6582,0.0000,-0.2457,13740.5876,0.0000,0.9472,0.9472,0.9362,0.9362,0.0000,0.0000
1.1000,accel,0.3934,0.0000,0.0000,3.9425,1.0177,0.0000,0.0000,0.7333,0.0000,0.0000,1,1000.0000,3700.2405,3700.2405,3161.8459,3161.8459,0.4212,0.4212,0.5305,0.5305,0.0000,0.0000,0.0000,0.0000,3529.3179,3529.3179,2975.3132,2975.3132,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3684,-3.3684,10.5808,10.5808,18.7359,18.7359,-66.3038,-66.3038,0.0000,-0.3074,13724.1728,0.0000,0.9538,0.9538,0.9410,0.9410,0.0000,0.0000
1.2000,accel,0.5117,0.0000,0.0000,4.5005,1.2599,0.0000,0.0000,0.8000,0.0000,0.0000,1,1183.3510,3749.9625,3749.9625,3114.4811,3114.4811,-0.3340,-0.3340,0.5802,0.5802,0.0000,0.0000,0.0000,0.0000,-3733.8738,-3733.8738,2914.4889,2914.4889,0.0000,0.0000,0.0000,0.0000,0.0000,-6.2668,-6.2668,12.3012,12.3012,67.6088,67.6088,-92.1252,-92.1252,0.0000,-0.4092,13728.8872,0.0000,0.9957,0.9957,0.9358,0.9358,0.0000,0.0000
1.3000,accel,0.6522,0.0000,0.0000,5.1466,1.4493,0.0000,0.0000,0.8667,0.0000,0.0000,1,1600.1483,4948.6195,4948.6195,1928.3233,1928.3233,-0.0441,-0.0441,0.6644,0.6644,0.0000,0.0000,0.0000,0.0000,-3445.8156,-3445.8156,1788.6448,1788.6448,0.0000,0.0000,0.0000,0.0000,0.0000,-4.5482,-4.5482,12.3471,12.3471,529.8857,529.8857,-431.3558,-431.3558,0.0000,-0.3723,13753.8855,0.0000,0.6963,0.6963,0.9276,0.9276,0.0000,0.0000
1.4000,accel,0.8173,0.0000,0.0000,6.4356,1.7104,0.0000,0.0000,0.9333,0.0000,0.0000,1,1396.4788,3879.5678,3879.5678,2986.5147,2986.5147,0.4491,0.4491,0.5445,0.5445,0.0000,0.0000,0.0000,0.0000,3686.9118,3686.9118,2805.8312,2805.8312,0.0000,0.0000,0.0000,0.0000,0.0000,-6.9969,-6.9969,13.2046,13.2046,126.7526,126.7526,-135.1400,-135.1400,0.0000,-0.4452,13732.1652,0.0000,0.9503,0.9503,0.9395,0.9395,0.0000,0.0000
1.5000,accel,1.0118,0.0000,0.0000,7.3761,2.0571,0.0000,0.0000,1.0000,0.0000,0.0000,1,1724.2825,3687.3429,3687.3429,3177.3345,3177.3345,-0.3496,-0.3496,0.5685,0.5685,0.0000,0.0000,0.0000,0.0000,-3663.2261,-3663.2261,2977.1105,2977.1105,0.0000,0.0000,0.0000,0.0000,0.0000,-10.1601,-10.1601,16.4340,16.4340,81.4938,81.4938,-103.6872,-103.6872,0.0000,-0.5860,13729.3549,0.0000,0.9935,0.9935,0.9370,0.9370,0.0000,0.0000
1.6000,accel,1.2393,0.0000,0.0000,8.6085,2.4367,0.0000,0.0000,1.0000,0.0000,0.0000,1,1000.0000,2580.8914,2580.8914,4288.8752,4288.8752,-0.1738,-0.1738,-0.0148,-0.0148,0.0000,0.0000,0.0000,0.0000,-2580.8914,-2580.8914,-1236.8714,-1236.8714,0.0000,0.0000,0.0000,0.0000,0.0000,-13.1499,-13.1499,19.9346,19.9346,-236.5629,-236.5629,264.4484,264.4484,0.0000,-0.7291,13739.5333,0.0000,1.0000,1.0000,0.2884,0.2884,0.0000,0.0000
1.7000,accel,1.4997,0.0000,0.0000,9.9967,2.7625,0.0000,0.0000,1.0000,0.0000,0.0000,1,1918.9653,2746.4371,2746.4371,4120.8143,4120.8143,-0.4575,-0.4575,0.4856,0.4856,0.0000,0.0000,0.0000,0.0000,-2689.6370,-2689.6370,3898.3436,3898.3436,0.0000,0.0000,0.0000,0.0000,0.0000,-13.3956,-13.3956,20.5859,20.5859,-187.5092,-187.5092,190.7104,190.7104,0.0000,-0.7488,13734.5027,0.0000,0.9793,0.9793,0.9460,0.9460,0.0000,0.0000
1.8000,accel,1.7975,0.0000,0.0000,11.2297,3.1127,0.0000,0.0000,1.0000,0.0000,0.0000,1,1598.9090,3480.1260,3480.1260,3382.4621,3382.4621,-0.0538,-0.0538,0.3035,0.3035,0.0000,0.0000,0.0000,0.0000,-2719.4290,-2719.4290,3281.7320,3281.7320,0.0000,0.0000,0.0000,0.0000,0.0000,-13.4828,-13.4828,20.5507,20.5507,31.8341,31.8341,-74.4846,-74.4846,0.0000,-0.7500,13725.1763,0.0000,0.7814,0.7814,0.9702,0.9702,0.0000,0.0000
1.9000,accel,2.1317,0.0000,0.0000,12.6650,3.5095,0.0000,0.0000,1.0000,0.0000,0.0000,1,1348.1025,2842.6142,2842.6142,4023.6609,4023.6609,-0.4735,-0.4735,0.0743,0.0743,0.0000,0.0000,0.0000,0.0000,-2778.4298,-2778.4298,3496.4538,3496.4538,0.0000,0.0000,0.0000,0.0000,0.0000,-15.4013,-15.4013,21.8475,21.8475,-145.7040,-145.7040,139.2332,139.2332,0.0000,-0.8208,13732.5502,0.0000,0.9774,0.9774,0.8690,0.8690,0.0000,0.0000
